world_index,gaze_timestamp,gaze,marker,marker_type
4384,8829.34592290693,"(300.57733730452924, 479.7571086472992)","(826.0393676757812, 500.8593444824219)",Ref
4384,8829.35695173993,"(300.95977392118414, 479.5101150898126)","(826.0393676757812, 500.8593444824219)",Ref
4385,8829.370101073931,"(301.5914762678947, 479.8701299958159)","(826.0441284179688, 501.1497802734375)",Ref
4385,8829.379889517932,"(301.40058477663365, 478.8799238641445)","(826.0441284179688, 501.1497802734375)",Ref
4386,8829.390838406931,"(301.2212369408105, 480.4463848185046)","(826.0441284179688, 501.1497802734375)",Ref
4386,8829.40533688793,"(300.93253434435104, 480.846963136145)","(826.0441284179688, 501.1497802734375)",Ref
4386,8829.413867739931,"(303.47542062474236, 479.63909102025934)","(826.0441284179688, 501.1497802734375)",Ref
4387,8829.43201196293,"(302.12339790667187, 479.18840665935505)","(825.9785766601562, 501.10931396484375)",Ref
4388,8829.461956350931,"(303.5505871179115, 479.20864296028674)","(826.1046752929688, 501.10467529296875)",Ref
4388,8829.46907118493,"(300.643164266237, 480.6278136209206)","(826.1046752929688, 501.10467529296875)",Ref
4388,8829.482148313931,"(315.95185575272814, 483.60373223198206)","(826.1046752929688, 501.10467529296875)",Ref
4389,8829.492410665931,"(409.7002231630237, 498.40088238666976)","(826.0555419921875, 501.5)",Ref
4389,8829.500897684931,"(530.2306171654184, 506.9603028680352)","(826.0555419921875, 501.5)",Ref
4389,8829.51052148093,"(641.5103212927104, 504.89118138917166)","(826.0555419921875, 501.5)",Ref
4389,8829.523006480931,"(718.40234331702, 507.40389504422467)","(826.0555419921875, 501.5)",Ref
4390,8829.53260757393,"(737.9048981588257, 499.43349060195965)","(826.032958984375, 501.3467712402344)",Ref
4390,8829.543219350931,"(737.2233941775526, 499.3020191326524)","(826.032958984375, 501.3467712402344)",Ref
4390,8829.55624836993,"(737.4947814499627, 500.5394639066379)","(826.032958984375, 501.3467712402344)",Ref
4391,8829.566056295931,"(739.943783939894, 502.5287002434277)","(826.0, 501.203125)",Ref
4391,8829.577156832931,"(739.139355619661, 498.84678103078124)","(826.0, 501.203125)",Ref
4391,8829.58969686993,"(740.151818464997, 498.77044414673753)","(826.0, 501.203125)",Ref
4392,8829.600814165931,"(740.5726861075071, 494.8640773021444)","(825.7653198242188, 501.5555114746094)",Ref
4392,8829.61056440693,"(752.1811800430585, 503.08500645051265)","(825.7653198242188, 501.5555114746094)",Ref
4392,8829.62279146193,"(806.0700636187298, 496.5683787817512)","(825.7653198242188, 501.5555114746094)",Ref
4393,8829.63269335093,"(818.979436107604, 491.18777849778394)","(825.2357177734375, 501.614501953125)",Ref
4393,8829.643391165931,"(814.0213202247965, 497.69467739918355)","(825.2357177734375, 501.614501953125)",Ref
4393,8829.657442647931,"(816.9629322360935, 497.69977365518844)","(825.2357177734375, 501.614501953125)",Ref
4394,8829.66662720293,"(820.2615884428633, 491.8361304302957)","(825.1029663085938, 501.76165771484375)",Ref
4394,8829.67630398093,"(820.367887640952, 494.4313730561096)","(825.1029663085938, 501.76165771484375)",Ref
4394,8829.689558184931,"(816.1491769999805, 494.91705507813964)","(825.1029663085938, 501.76165771484375)",Ref
